averages.Module_num,averages.average_dn_ds,averages.average_enc,medians.Module_num,medians.median_dn_ds,medians.median_enc,modes.Module_num,modes.mode_dn_ds,modes.mode_enc
M0,0.118284014113388,49.7934833819051,M0,0.0605433241775773,50.1329559066301,M0,0.0222720532439504,61
M1,0.0515321556707109,48.3282559873841,M1,0.0302500404026915,49.2778104362061,M1,0.00000000057807522091972,46.5881888667069
M10,0.120606393807085,50.1924036349866,M10,0.0708682316707003,50.8343497427896,M10,0.0269944145709496,61
M11,0.126331975869612,50.6476633621241,M11,0.0710312303727072,51.0648941879863,M11,0.027514275671007,61
M2,0.125201125172848,50.0304531659948,M2,0.0746620659967745,50.1092226124097,M2,0.0671696881039088,61
M3,0.120902434252299,50.7090863305889,M3,0.0748227253894839,50.7907805937177,M3,0.299032204059486,51.7151725725314
M4,0.13651148374702,50.7673284378624,M4,0.0789698990519659,51.2533570249564,M4,0.208013333965051,61
M5,0.0863120773220283,50.2386117045498,M5,0.0478845991463034,50.6406343585398,M5,0.00393747130211585,61
M6,0.113523754861101,50.7190073277694,M6,0.0675241245502126,51.112231198462,M6,0.158866069437753,61
M7,0.0991088151395437,50.7400002788634,M7,0.0435786871134722,51.3997005053931,M7,0.0232792185595425,61
M8,0.0501138034878681,47.9273191081486,M8,0.0321323978938184,48.4316479436649,M8,0.0119105678603316,61
M9,0.0817454134486196,50.4129531431933,M9,0.0421928051035668,50.8286339614462,M9,0.118682904771527,61
