"","MEpurple","MEyellow","MEblue","MEred","MEpink","MEgreen","MEturquoise","MEblack","MEgreenyellow","MEbrown","MEmagenta","MEgrey"
"3FG1",-0.191493316144396,-0.267555715570105,-0.271941885772049,-0.342977395986655,0.151314093570087,0.299942888941453,0.237360690477379,0.0668060233684436,0.0461611821658533,-0.0816924142025082,0.0538792931344928,0.077571772204737
"3FG2",-0.179727907035332,-0.255834248079003,-0.2964729243648,-0.174069887823762,0.30814597938831,0.396742986879101,0.359817499947669,0.0647415739257755,-0.0890629804412393,-0.253166659105946,0.190245563305202,-0.374647846737187
"3FG3",-0.186008575661801,-0.270439103674945,-0.310016458713685,-0.0621097893060728,0.216865411648838,0.369159394017945,0.285858537624247,0.103216093412365,-0.0324120252017457,-0.183887812730657,0.112659671453884,-0.135277013489111
"3FS1",-0.150416100452242,-0.185079505479274,0.0851655126562649,-0.000482544957634411,0.119055542984267,0.132064885967887,-0.0113071530863209,0.205387184507646,-0.0137673806752915,-0.156854927092283,-0.212563389915447,0.200090311841143
"3FS2",-0.152077184381672,-0.198726704198701,0.0169225674294635,0.0854710085572243,0.14797574310929,0.166714738207018,0.0228805137599175,0.206914328727984,-0.0776057652699678,-0.250738238240703,-0.175040856755899,0.0954549196199946
"3FS3",-0.120401707270288,-0.150692504424036,0.128361216590818,0.329160592992443,0.146779530755353,0.121712148960445,-0.0633870493961412,0.287388950020662,-0.0484542077074308,-0.219896669289291,-0.206328412963673,0.250699648793671
"3MG1",-0.136639339820999,-0.223293285212063,-0.103465299190462,-0.321232344696367,-0.288637350609174,0.190158860841097,-0.00818267283535287,0.172206292756549,0.433042633210872,0.271370992667328,0.238724884077224,0.208477986019535
"3MG2",-0.12208848553142,-0.222013029950394,-0.106279792606362,-0.109498702597296,-0.331849562744116,0.200435597993204,-0.00610037909923974,0.172090689274476,0.462135278602543,0.289377813117671,0.340723990957957,-0.0533310422464349
"3MG3",-0.143834724003239,-0.223142999313587,-0.099525219653852,-0.0816271433211849,-0.265992826215929,0.181774463093718,-0.000958840918305609,0.161083828491451,0.417588785220313,0.256227030141434,0.261677220538038,0.0616370826399478
"3MS1",-0.0946669534265708,-0.120978283069381,0.314857124746221,-0.0475686998258943,-0.0324688702328008,-0.00627151949605452,-0.285524161346462,0.299538952324665,0.210069007152134,0.0830763476879431,-0.230072183339996,0.162810717240597
"3MS2",-0.0973392615835914,-0.12570864001156,0.236864438294192,0.452278237332934,-0.0767830899309583,-0.0124519290083926,-0.297347889541224,0.276801402230436,0.218887799991524,0.0913810006144724,-0.158556058223643,-0.291968701298429
"3MS3",-0.125097144871963,-0.140015155431452,0.222456882295876,0.234210980521798,-0.0194173992420908,-0.00598135142529848,-0.256263553407496,0.270903926736103,0.214582677103276,0.0900857767005393,-0.158962022351499,-0.044111492550023
"8FG1",0.0222692869035824,0.166549899496392,-0.209710782685971,-0.290949125982778,0.133342423621235,-0.0853021853659872,0.219795366202604,-0.288366677361675,-0.203520732626512,-0.0822383631508547,0.013389739058049,0.159996279693176
"8FG2",-0.10983825134765,0.161185937630154,-0.302145217474518,-0.0156080533304629,0.250700157378742,-0.0132587525321203,0.336377432797085,-0.29966024332369,-0.1929652610631,-0.292404319910291,0.150529574769222,-0.506889010402174
"8FG3",-0.0226506843354602,0.19228954885107,-0.251611553269472,-0.229178185901494,0.224135100008081,-0.029882290943947,0.314493717656348,-0.268415194013113,-0.191712220669309,-0.150976786412603,0.121432378317529,-0.0706110231661029
"8FS1",-0.00914282105218125,0.216342752609516,0.11214761099044,-0.0452605857880479,0.133307806125309,-0.183838127663248,0.00858094710473856,-0.176619060593605,-0.162954945220403,-0.132128980768308,-0.210895845183387,0.300432216919683
"8FS2",-0.0815826589136904,0.20413991744794,0.0273950325651237,0.270281594808868,0.169073214283084,-0.175637368506328,0.0278236755707284,-0.174372778565485,-0.149267040541327,-0.26759042935856,-0.182849961533472,0.0614792232775582
"8FS3",-0.0324070699256489,0.231759765763129,0.115385176399856,0.0849341930363968,0.149816138531325,-0.200162489188612,-0.0256025000631011,-0.137909038541379,-0.142001823098883,-0.173486995998306,-0.244120104436367,0.337204405296168
"8MG1",0.446650637818296,0.207617562903044,-0.0439750397410862,-0.0649960076333542,-0.246359885593469,-0.159366945352845,-0.00285036344112916,-0.201569083895823,-0.138394588066864,0.266670564791166,0.268348706455533,0.0173885278434457
"8MG2",0.533114583685048,0.245473182657075,-0.00825998214254178,-0.164953609566733,-0.359843193074152,-0.163896268592707,-0.0297685209584322,-0.194075396902917,-0.127153164947898,0.324267441314932,0.245687845396291,0.0345385944976342
"8MG3",0.30576642430365,0.102128078116236,-0.108689190228309,-0.00414352278525678,-0.312394621203742,-0.134178921629873,0.00238040399917707,-0.22129322917733,-0.101761329403718,0.261984978341365,0.294771985127111,-0.121171520513362
"8MS1",0.265269064138917,0.245009539520345,0.279546889515695,0.106919251292624,-0.101213907812554,-0.290548850003087,-0.267691039225913,-0.116149288900677,-0.11098554676712,0.123331992581473,-0.132368473502239,-0.154113262169992
"8MS2",0.247318646385169,0.245647402059068,0.291562726629734,0.125600243915667,-0.0863202981147942,-0.308908382395327,-0.298187829603109,-0.106668427930803,-0.104645305439597,0.119364808715141,-0.209173506428668,-0.130935179111244
"8MS3",0.135023542523482,0.165335587360532,0.281428167729426,0.265799497045038,-0.0292301366301395,-0.28902058279804,-0.262196832217667,-0.10198082657006,-0.115803046306109,0.067923849586845,-0.171140037956242,-0.0847255942032291
