Gene	ENC
KAF1768384.1	52.880256942294
KAF1768385.1	54.5221164326889
KAF1768386.1	53.4635784485842
KAF1768387.1	56.6466332527847
KAF1768388.1	59.2835183561585
KAF1768389.1	53.6103739597462
KAF1768390.1	57.7736247748757
KAF1768391.1	54.2894611787545
KAF1768392.1	54.482739073643
KAF1768393.1	53.4374195903488
KAF1768394.1	56.0742160115779
KAF1768395.1	47.7923115658679
KAF1768396.1	49.0113847250381
KAF1768397.1	57.4420936924776
KAF1768398.1	53.2619895448001
KAF1768399.1	60.2689069418047
KAF1768400.1	59.3949184805901
KAF1768401.1	54.3237250441944
KAF1768402.1	50.181397777135
KAF1768403.1	53.0226400438242
KAF1768404.1	61
KAF1768405.1	58.5324783738861
KAF1768406.1	47.936562972473
KAF1768407.1	58.2569604608947
KAF1768408.1	50.2628764093999
KAF1768409.1	48.4856480828002
KAF1768410.1	56.7482485714524
KAF1768411.1	61
KAF1768412.1	51.669190650672
KAF1768413.1	54.8242836214557
KAF1768414.1	55.1939338942155
KAF1768415.1	55.5719524486648
KAF1768416.1	53.9439371792936
KAF1768417.1	56.8344905996601
KAF1768418.1	57.194816156304
KAF1768419.1	51.4059762290761
KAF1768420.1	53.1173909748281
KAF1768421.1	49.9225095860826
KAF1768422.1	58.8774645204012
KAF1768423.1	46.4150519059767
KAF1768424.1	42.7357325374682
KAF1768425.1	51.4947120440023
KAF1768426.1	48.5564754067748
KAF1768427.1	50.8761154182267
KAF1768428.1	50.0313085401602
KAF1768429.1	40.0100174200832
KAF1768430.1	56.2615929217535
KAF1768431.1	44.7992567845699
KAF1768432.1	53.228092519578
KAF1768433.1	47.9371677193192
KAF1768434.1	59.1657859056612
KAF1768435.1	51.166049727222
KAF1768436.1	57.4349550451434
KAF1768437.1	52.2235373264921
KAF1768438.1	46.6329444108468
KAF1768439.1	43.6724308303483
KAF1768440.1	48.4362321745898
KAF1768441.1	52.1137083545787
KAF1768442.1	51.6968818154279
KAF1768443.1	51.8205078095868
KAF1768444.1	54.1800690526053
KAF1768445.1	52.1245692494119
KAF1768446.1	53.4251939275724
KAF1768447.1	55.9264358775814
KAF1768448.1	52.2900973266468
KAF1768449.1	47.4096622273532
KAF1768450.1	56.0683598537973
KAF1768451.1	48.6709074211526
KAF1768452.1	48.260523283875
KAF1768453.1	52.3629603521716
KAF1768454.1	56.3939669905494
KAF1768455.1	58.1078775242914
KAF1768456.1	56.4358182140812
KAF1768457.1	55.660412453147
KAF1768458.1	42.5880398671096
KAF1768459.1	49.2985654395479
KAF1768460.1	44.6907067146988
KAF1768461.1	50.6953367514985
KAF1768462.1	61
KAF1768463.1	46.5272912505632
KAF1768464.1	50.4840560705193
KAF1768465.1	49.5070505544552
KAF1768466.1	55.3303250721047
KAF1768467.1	53.8645434912108
KAF1768468.1	48.2991026012576
KAF1768469.1	49.6240924510588
KAF1768470.1	57.493328416409
KAF1768471.1	50.4672774965903
KAF1768472.1	48.564168595252
KAF1768473.1	52.2645648423449
KAF1768474.1	30.147994557622
KAF1768475.1	43.6618369308408
KAF1768476.1	52.5521000256454
KAF1768477.1	56.0849711486641
KAF1768478.1	55.0465908192107
KAF1768479.1	51.2352551866779
KAF1768480.1	53.9924459466242
KAF1768481.1	53.5794122093556
KAF1768482.1	50.5764276740333
KAF1768483.1	50.4607235255958
KAF1768484.1	57.0248531499733
KAF1768485.1	38.6960000566219
KAF1768486.1	59.3320986985101
KAF1768487.1	54.7046919842229
KAF1768488.1	55.5242487727606
KAF1768489.1	56.6281492377617
KAF1768490.1	40.8702694933525
KAF1768491.1	43.4088366917572
KAF1768492.1	54.8025973171219
KAF1768493.1	48.0231923486317
KAF1768494.1	57.484207897037
KAF1768495.1	54.907454046835
KAF1768496.1	53.7205307176485
KAF1768497.1	61
KAF1768498.1	52.3292780096446
KAF1768499.1	59.3881997759247
KAF1768500.1	55.7135964395769
KAF1768501.1	56.5169625917938
KAF1768502.1	43.3103438775582
KAF1768503.1	43.7343531782483
KAF1768504.1	61
KAF1768505.1	57.1846001593827
KAF1768506.1	57.1237759880577
KAF1768507.1	51.8496959635433
KAF1768508.1	40.039752849295
KAF1768509.1	55.1204586293627
KAF1768510.1	60.6275753333344
KAF1768511.1	43.8674504601609
KAF1768512.1	47.1934365487089
KAF1768513.1	48.7375140117677
KAF1768514.1	44.2948865678289
KAF1768515.1	55.3975592431082
KAF1768516.1	52.5632583845936
KAF1768517.1	36.3975803087192
KAF1768518.1	50.9611279894056
KAF1768519.1	54.0332868909511
KAF1768520.1	55.1852686112035
KAF1768521.1	42.853248954183
KAF1768522.1	59.1109382625043
KAF1768523.1	50.3426918812645
KAF1768524.1	56.5859159467795
KAF1768525.1	52.4722630514459
KAF1768526.1	52.6375646617065
KAF1768527.1	52.9217502949125
KAF1768528.1	55.739957634319
KAF1768529.1	55.131674537998
KAF1768530.1	49.1183484075052
KAF1768531.1	49.7820787045764
KAF1768532.1	58.2060933932964
KAF1768533.1	52.6938493914862
KAF1768534.1	54.3215968896359
KAF1768535.1	49.4344631775949
KAF1768536.1	51.6837977519615
KAF1768537.1	52.1135243267255
KAF1768538.1	48.8018398467155
KAF1768539.1	59.8836861827582
KAF1768540.1	61
KAF1768541.1	44.6671082071791
KAF1768542.1	39.6222222222222
KAF1768543.1	54.5721730958232
KAF1768544.1	49.4787994805134
KAF1768545.1	55.136942440705
KAF1768546.1	48.8587368458869
KAF1768547.1	56.3091640004846
KAF1768548.1	53.4458303129757
KAF1768549.1	51.2727720311017
KAF1768550.1	51.1107307864635
KAF1768551.1	49.7635277363674
KAF1768552.1	51.2276114293275
KAF1768553.1	55.4048160180293
KAF1768554.1	52.0657629666493
KAF1768555.1	47.2616304810326
KAF1768556.1	56.3563706683771
KAF1768557.1	53.7832658179799
KAF1768558.1	53.8019232966331
KAF1768559.1	56.5186791871048
KAF1768560.1	51.36979168936
KAF1768561.1	51.36979168936
KAF1768562.1	56.5186791871048
KAF1768563.1	55.0073950717972
KAF1768564.1	49.597637192445
KAF1768565.1	51.7093571625548
KAF1768566.1	53.9090742954321
KAF1768567.1	51.9920211319805
KAF1768568.1	50.608093813102
KAF1768569.1	48.9960815410116
KAF1768570.1	56.1025224504846
KAF1768571.1	52.8234536066707
KAF1768572.1	52.3959689342975
KAF1768573.1	54.8783955933779
KAF1768574.1	52.185430916367
KAF1768575.1	58.2514633920521
KAF1768576.1	51.456121837009
KAF1768577.1	60.410250283747
KAF1768578.1	54.5673706154264
KAF1768579.1	54.4457170698245
KAF1768580.1	38.2566076729071
KAF1768581.1	53.3660860084035
KAF1768582.1	53.6523674304254
KAF1768583.1	57.2987758918461
KAF1768584.1	50.6064417323009
KAF1768585.1	49.4841678909791
KAF1768586.1	47.8680531512296
KAF1768587.1	49.7261983732532
KAF1768588.1	52.7328350064729
KAF1768589.1	49.2313948508357
KAF1768590.1	49.2966481810254
KAF1768591.1	58.4878334054246
KAF1768592.1	50.6779632781519
KAF1768593.1	48.7319270181749
KAF1768594.1	48.2049530659922
KAF1768595.1	54.2667151534215
KAF1768596.1	48.6928696972465
KAF1768597.1	60.0944460663088
KAF1768598.1	54.3683053453516
KAF1768599.1	50.4490125074825
KAF1768600.1	46.7108028398966
KAF1768601.1	45.079196502367
KAF1768602.1	54.0875024680323
KAF1768603.1	47.1193574932192
KAF1768604.1	52.7876422981547
KAF1768605.1	47.8458454703128
KAF1768606.1	53.6028376762723
KAF1768607.1	51.0209445265623
KAF1768608.1	52.6540712542705
KAF1768609.1	55.5940785700343
KAF1768610.1	51.8651567754271
KAF1768611.1	58.128554206628
KAF1768612.1	51.6064488243337
KAF1768613.1	55.6447979552188
KAF1768614.1	53.1750761753422
KAF1768615.1	46.0150943692782
KAF1768616.1	51.2878580920318
KAF1768617.1	57.1711482206709
KAF1768618.1	50.1925029767558
KAF1768619.1	56.2062331798141
KAF1768620.1	59.1658148829802
KAF1768621.1	53.5220025327491
KAF1768622.1	49.1492014395809
KAF1768623.1	47.3176792031574
KAF1768624.1	48.8946196913216
KAF1768625.1	42.2035114257309
KAF1768626.1	50.5905577613201
KAF1768627.1	44.3898139906341
KAF1768628.1	52.4983437387342
KAF1768629.1	53.3273511773877
KAF1768630.1	60.5245167326092
KAF1768631.1	52.9283394320661
KAF1768632.1	54.220432833754
KAF1768633.1	53.7268797901972
KAF1768634.1	52.5970372781869
KAF1768635.1	52.7595255599612
KAF1768636.1	55.8526706180944
KAF1768637.1	49.0155185485662
KAF1768638.1	52.6699824606039
KAF1768639.1	48.4737716865073
KAF1768640.1	53.7492103774803
KAF1768641.1	50.4064788986266
KAF1768642.1	48.4569923431786
KAF1768643.1	46.0047125025043
KAF1768644.1	45.8872591176939
KAF1768645.1	49.8719970441014
KAF1768646.1	55.5986107653134
KAF1768647.1	52.3489762841898
KAF1768648.1	51.9892887799244
KAF1768649.1	42.6658260344371
KAF1768650.1	52.9480209710511
KAF1768651.1	55.3106273721718
KAF1768652.1	48.7230754184835
KAF1768653.1	55.316194901635
KAF1768654.1	50.9911961152715
KAF1768655.1	52.8696224626464
KAF1768656.1	48.5211897287765
KAF1768657.1	54.0618290284282
KAF1768658.1	45.4270579227347
KAF1768659.1	55.8702036356554
KAF1768660.1	54.5337158071587
KAF1768661.1	55.5127542029904
KAF1768662.1	55.2141124790917
KAF1768663.1	56.8903710968663
KAF1768664.1	50.7098134891947
KAF1768665.1	59.9740911586881
KAF1768666.1	46.8789025964392
KAF1768667.1	56.9155505168293
KAF1768668.1	50.5680903434746
KAF1768669.1	58.0032409465878
KAF1768670.1	57.1021347456216
KAF1768671.1	53.7189877956162
KAF1768672.1	49.9372011921584
KAF1768673.1	56.220924544454
KAF1768674.1	54.8559543460493
KAF1768675.1	59.8421102276776
KAF1768676.1	53.4823114781825
KAF1768677.1	52.682326027419
KAF1768678.1	56.3810318260827
KAF1768679.1	57.2262477752343
KAF1768680.1	57.0574969258218
KAF1768681.1	57.1179663791459
KAF1768682.1	39.7754052440648
KAF1768683.1	54.3231265861516
KAF1768684.1	51.9765075881599
KAF1768685.1	50.1546851337564
KAF1768686.1	50.3897688669798
KAF1768687.1	53.5176861982785
KAF1768688.1	53.7175523440359
KAF1768689.1	56.0971197902341
KAF1768690.1	39.7754052440648
KAF1768691.1	52.4379262109037
KAF1768692.1	50.8325067375795
KAF1768693.1	38.0037878787879
KAF1768694.1	46.7842647471048
KAF1768695.1	34.1153215192308
KAF1768696.1	32.5501509008101
KAF1768697.1	53.2871039683011
KAF1768698.1	50.1675051901233
KAF1768699.1	46.9301946921148
KAF1768700.1	52.5981368419797
KAF1768701.1	52.0216301936333
KAF1768702.1	45.9922755853946
KAF1768703.1	56.416670041662
KAF1768704.1	55.8565895826063
KAF1768705.1	48.4863046393181
KAF1768706.1	59.2422981314012
KAF1768707.1	52.4081925160316
KAF1768708.1	53.1248666234956
KAF1768709.1	56.1787723428301
KAF1768710.1	61
KAF1768711.1	53.4517522661996
KAF1768712.1	48.1530144937268
KAF1768713.1	58.3625400108156
KAF1768714.1	49.1739673818556
KAF1768715.1	59.6886009172921
KAF1768716.1	49.4328914432195
KAF1768717.1	52.2817463958521
KAF1768718.1	48.9899619907636
KAF1768719.1	55.79678992775
KAF1768720.1	54.446232721768
KAF1768721.1	42.9402288319147
KAF1768722.1	53.2840598702166
KAF1768723.1	51.1805772729134
KAF1768724.1	43.731606244563
KAF1768725.1	41.9303760824179
KAF1768726.1	39.6978305061424
KAF1768727.1	46.2974491004804
KAF1768728.1	55.0570858522313
KAF1768729.1	52.3486454632156
KAF1768730.1	48.6969696969697
KAF1768731.1	50.0204884291045
KAF1768732.1	58.4137848807283
KAF1768733.1	48.7814767612214
KAF1768734.1	49.384070751119
KAF1768735.1	54.2979292937752
KAF1768736.1	44.8413765865669
KAF1768737.1	52.1657215126409
KAF1768738.1	50.803419541545
KAF1768739.1	42.2067253263598
KAF1768740.1	53.7498446037361
KAF1768741.1	35.9151293645176
KAF1768742.1	47.6245512289423
KAF1768743.1	51.7942058527475
KAF1768744.1	54.4892654455075
KAF1768745.1	48.9701072322124
KAF1768746.1	46.9550062773072
KAF1768747.1	47.6684828541324
