Gene	ENC
OZG25688.1	60.395639196422
OZG25686.1	55.5313853261635
OZG25687.1	45.2035012910491
OZG25691.1	46.444401890093
OZG25692.1	50.9914711974268
OZG25689.1	38.4090294493098
OZG25690.1	55.3743967487935
OZG25684.1	50.309342536875
OZG25685.1	49.9896492814792
OZG25107.1	50.8429200153286
OZG25106.1	50.2596597435544
OZG25109.1	51.1373940837893
OZG25108.1	58.692640947953
OZG25111.1	39.5068045958156
OZG25110.1	41.1964769557024
OZG25113.1	47.9884405856319
OZG25112.1	58.0820313885938
OZG25105.1	48.8828522920204
OZG25104.1	54.4352264095413
OZG24530.1	52.8542483811711
OZG24531.1	51.1087383372856
OZG24532.1	51.3712378881501
OZG24533.1	51.8784856741691
OZG24525.1	52.27531305809
OZG24526.1	52.4075153221667
OZG24527.1	53.6131583973576
OZG24529.1	56.6913180277949
OZG24523.1	55.0924664923449
OZG24524.1	54.6894236337138
OZG25527.1	52.2018095071964
OZG25526.1	53.1152865109564
OZG25525.1	42.4478178368121
OZG25524.1	49.3931197873471
OZG25531.1	44.7811326336796
OZG25530.1	44.697542558596
OZG25529.1	46.8352272205461
OZG25528.1	48.7466636238119
OZG25533.1	53.0003793844529
OZG25532.1	38.1595218081629
OZG24941.1	58.4448308669236
OZG24942.1	51.3173306655602
OZG24939.1	33.6629412956805
OZG24940.1	61
OZG24937.1	43.81589958159
OZG24938.1	46.8394564762026
OZG24935.1	53.6332188068969
OZG24936.1	53.301195154777
OZG24943.1	52.9719189667536
OZG24944.1	50.8348474492775
OZG24360.1	44.8311602759517
OZG24358.1	55.5325962327738
OZG24362.1	42.6126550048572
OZG24361.1	55.2956749343603
OZG24355.1	54.1246190474128
OZG24354.1	57.8017976316969
OZG24357.1	47.8899948013683
OZG24356.1	52.4212435835373
OZG24364.1	52.4960902211342
OZG24363.1	52.2504297280979
OZG25329.1	57.8134338583605
OZG25330.1	53.3327583393718
OZG25332.1	55.510154597292
OZG25335.1	61
OZG25336.1	40.4401257864313
OZG25337.1	48.6167694822076
OZG25338.1	61
OZG25339.1	35.850768015224
OZG25327.1	43.3193828351013
OZG25328.1	43.6139897137125
OZG24774.1	52.1195928120377
OZG24773.1	56.009652382033
OZG24772.1	50.3370256520785
OZG24771.1	39.8350531992613
OZG24770.1	54.2682186572407
OZG24769.1	38.7579895931809
OZG24768.1	43.431385894515
OZG24766.1	52.9771179298419
OZG24765.1	53.0182473823683
OZG24764.1	47.7878399036584
OZG24180.1	61
OZG24181.1	43.6414275379793
OZG24178.1	56.9044427150105
OZG24179.1	27.8325469114552
OZG24184.1	53.4802989380894
OZG24185.1	54.2880795070941
OZG24182.1	56.9120486665349
OZG24183.1	52.4413052255213
OZG24186.1	52.3836827797165
OZG24187.1	51.0229969609511
OZG25151.1	51.8787253357059
OZG25150.1	61
OZG25153.1	58.3331794704709
OZG25152.1	59.429343405558
OZG25155.1	60.2837248974553
OZG25154.1	51.3671557919563
OZG25157.1	61
OZG25156.1	47.009852256067
OZG25159.1	58.8007882427277
OZG25158.1	49.3379304679119
OZG24621.1	54.9135072769573
OZG24620.1	51.9611905630447
OZG24619.1	51.6578660089041
OZG24618.1	47.2929778921325
OZG24625.1	52.8875966336908
OZG24624.1	53.8987341120693
OZG24623.1	56.9134454002277
OZG24622.1	50.5080341580214
OZG24627.1	45.8251568149917
OZG24626.1	51.8530064286141
OZG25169.1	45.9805896256767
OZG25170.1	48.5570605770658
OZG25171.1	51.3933036660309
OZG25172.1	47.7419900806548
OZG25165.1	50.3975549133663
OZG25166.1	50.2059166327647
OZG25167.1	52.8898842657881
OZG25168.1	53.3775467576328
OZG25163.1	58.3767601687735
OZG25164.1	51.2018896099014
OZG24206.1	30.5607142715982
OZG24205.1	39.2808443267959
OZG24208.1	51.5595491114815
OZG24207.1	50.9753700307174
OZG24210.1	51.9624180156789
OZG24209.1	33.0357607239436
OZG24212.1	50.5966053866832
OZG24211.1	59.3596627016527
OZG24204.1	48.9588734593124
OZG24203.1	55.9842497072794
OZG24796.1	50.4759626835844
OZG24797.1	36.6747023764409
OZG24794.1	57.0313371527402
OZG24795.1	46.6586972258189
OZG24800.1	51.8877462383645
OZG24801.1	37.4458041958042
OZG24798.1	50.4951578192252
OZG24799.1	55.5069500905796
OZG24792.1	54.9549790311212
OZG24793.1	53.9015474734491
OZG25393.1	54.3905934986546
OZG25392.1	49.0135401463381
OZG25391.1	52.4377535396401
OZG25390.1	50.5875153610836
OZG25389.1	42.8217280096672
OZG25388.1	53.8813773663611
OZG25386.1	48.5126746706086
OZG25385.1	57.1798652910456
OZG25384.1	51.2768173933659
OZG25383.1	49.8421488990319
OZG24426.1	59.4067735995576
OZG24427.1	48.965567264791
