"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mxf"
"remanei_genome_00008431",45.0902344879414,5.02126749884467,0.570868850375041,8.7958337463077,1.41989693175154e-18,1.81808541913403e-17,1
"remanei_genome_00008437",56.2149676825232,1.96023694281862,0.427138892674082,4.58922607245304,4.44892397436028e-06,1.75866860462967e-05,1
"remanei_genome_00008439",23.5051586374807,5.35492318973762,0.765888052624479,6.99178316124378,2.71414155612765e-12,1.75673557863647e-11,1
"remanei_genome_00010647",398.730269783856,4.2429743019513,0.418635613484101,10.1352445068853,3.8540815788507e-24,7.09391890607207e-23,1
"remanei_genome_00010649",2083.11911943816,5.94143953930637,0.615624293697146,9.65108037505297,4.86405500767416e-22,7.74304972843265e-21,1
"remanei_genome_00013180",510.074931587734,6.16794278141061,0.746667758635141,8.26062557285881,1.44910982782677e-16,1.42254281431661e-15,1
"remanei_genome_00013517",1147.36397616421,-1.71051088497505,0.220618311320437,-7.7532588964958,8.95637557522773e-15,7.22644549836867e-14,-1
"remanei_genome_00013520",61.9619327172866,-0.00364921516106031,0.268510018752465,-0.0135906108010981,0.98915659527559,0.992526805140243,0
"remanei_genome_00013523",53.3552917393364,1.02677386427791,0.356417402800366,2.88081854648668,0.00396643917370643,0.00981610366938273,1
"remanei_genome_00013557",33.2730135930531,0.403439201667338,0.301820320616726,1.33668667783193,0.181324932322355,0.284801027034312,0
"remanei_genome_00013561",17.7839598414078,1.25647660126389,0.370919736324778,3.38746224105938,0.00070542426515908,0.0020169654960131,1
"remanei_genome_00004457",804.303684198728,-1.15131802246845,0.239578938547952,-4.8055894622724,1.54296223355767e-06,6.26761900389977e-06,-1
"remanei_genome_00004739",2157.27856617307,-1.22152342891663,0.242739990710704,-5.03222985771815,4.84807487182902e-07,2.06921456486036e-06,-1
"remanei_genome_00007799",420.220973418815,-1.37893047235703,0.199568841446517,-6.90954791520688,4.86200632949128e-12,3.11274100877214e-11,-1
"remanei_genome_00007828",114.860361962228,-0.894285755599012,0.296523284666213,-3.01590398408571,0.00256214378321205,0.006589968071231,-1
"remanei_genome_00007866",495.475491153949,-0.446274679994794,0.191437890080757,-2.3311721614072,0.0197442834426268,0.0412880256893225,-1
"remanei_genome_00008357",902.605369742474,-0.671807020262633,0.228836742005409,-2.93574805503371,0.00332744454652031,0.00833985037404453,-1
"remanei_genome_00008386",2519.92108423626,-1.20675592484366,0.203719239622594,-5.92362276179348,3.14925433377541e-09,1.65617035945868e-08,-1
"remanei_genome_00009206",1192.06066734555,-0.880606998137854,0.261367564768513,-3.36922830848497,0.000753789635237769,0.00214484103939636,-1
"remanei_genome_00010128",20.3740915619417,-0.423384991302962,0.487076154939148,-0.869237771156868,0.384717091885597,0.496926243685563,0
"remanei_genome_00011995",156.50917914615,-0.468058503829101,0.33313547601533,-1.40500948571314,0.160018457596919,0.258718115605274,0
"remanei_genome_00004230",14.4962241723775,-3.50677313644689,0.706498450888983,-4.96359635613403,6.91996852150909e-07,2.89068188593536e-06,-1
"remanei_genome_00004239",10.3661333477108,-3.87368769131995,0.844676309400873,-4.58600252926183,4.51813128640891e-06,1.77411955179656e-05,-1
"remanei_genome_00004428",22.0803459153078,-4.26304335851869,0.671574044328998,-6.34783817885354,2.18361588975867e-10,1.24868908647365e-09,-1
"remanei_genome_00004472",58.7363142996647,-4.54579414247028,0.543399568678754,-8.36547248928285,5.98745000476168e-17,6.18703167158707e-16,-1
"remanei_genome_00004473",4.80221455308872,4.79677699249936,1.14020665453518,4.20693649999335,2.58855838340798e-05,8.86430748736803e-05,1
"remanei_genome_00019770",99.2123350726947,-5.76374128830706,0.683295209097481,-8.43521396252727,3.30597427765781e-17,3.60596083248231e-16,-1
"remanei_genome_00019781",7.79089697257055,-4.36239850207576,1.12419478282661,-3.88046499478248,0.000104256950063079,0.000331931586957586,-1
"remanei_genome_00007944",2.39575431850651,1.58291575513461,2.21554081414576,0.714460209908128,0.474942652205182,0.576786025049179,0
"remanei_genome_00010091",149.679637643885,-0.215070530435729,0.752324978461028,-0.285874504493633,0.774974241663039,0.83778734650741,0
"remanei_genome_00020044",16.497549306535,1.62626009220105,1.20360855549972,1.35115364939047,0.17664621871622,0.278940007570653,0
"remanei_genome_00000199",335.38634260926,5.82300504693385,0.516305012531453,11.2782268341412,1.68100049624186e-29,4.50049678312025e-28,1
"remanei_genome_00000669",9559.84202924861,6.08941956497859,0.793992841576914,7.66936330670773,1.72852200172547e-14,1.33960455133724e-13,1
"remanei_genome_00011893",7.67390413539921,5.42292037565553,1.2250255633577,4.4267813977626,9.56495784623374e-06,3.4992299201439e-05,1
"remanei_genome_00012691",1.30930300749739,2.7805203537457,2.29244453337466,1.21290627243773,0.225165657241093,0.330718265968702,0
"remanei_genome_00002285",10.0496227214672,0.69146207836589,0.684457560545415,1.01023367732967,0.312383347932332,0.421038425474013,0
"remanei_genome_00003886",9.17754679367991,1.19294553676102,0.833718043313698,1.43087407826695,0.15246630740664,0.248760817347675,0
"remanei_genome_00011861",2.30859731101385,-1.33444679452945,1.10152012934039,-1.21145929065185,0.225719427706992,0.330718265968702,0
"remanei_genome_00019817",3.41980456360396,4.16492197344342,1.6632592678833,2.50407260844173,0.012277283590762,0.0268822306132299,1
"remanei_genome_00020036",6.4362696919719,3.3606306083537,1.02209543035099,3.28798124769977,0.00100908560597604,0.00277734309308359,1
"remanei_genome_00013174",11825.4439707668,-1.64861744094458,0.222684445891547,-7.40337940687378,1.32761727223927e-13,9.26256613508896e-13,-1
